trade_date,expiry_date,days_to_expiry,stock_price,atm_strike,moneyness,call_bid,call_ask,call_mid,put_bid,put_ask,put_mid,implied_vol,open_interest,volume,call_spread_pct,put_spread_pct,risk_free_rate,liquid,skip_reason
2023-12-15,2024-01-18,34,806.2192993164062,810,0.9953324682918596,13.75,13.95,13.870424773329889,12.45,12.65,12.536601160590692,0.1345148221000084,5948,150,1.441916907869759,1.5953287293585527,0.068,True,
2023-12-18,2024-01-18,31,805.8055419921875,810,0.9948216567804784,12.8,12.95,12.875233446864629,12.3,12.5,12.405146694456164,0.1349540015769564,5110,384,1.1650274196506047,1.6122340583798085,0.068,True,
2023-12-19,2024-01-18,30,804.44287109375,800,1.0055535888671876,17.25,17.5,17.384243877058452,8.35,8.6,8.482611612967276,0.1358554419627555,5910,506,1.4380838290580973,2.9472055471433793,0.068,True,
2023-12-20,2024-01-25,36,806.438232421875,810,0.9956027560763889,14.5,14.7,14.615346721616277,12.65,12.85,12.762743335309608,0.1354518711560086,5290,500,1.368424600589166,1.567061208906992,0.068,True,
2023-12-21,2024-01-25,35,820.892822265625,820,1.001088807641006,17.25,17.5,17.393614126562568,11.1,11.25,11.171336912058962,0.1392222771158767,5763,246,1.437309107704153,1.342722014211943,0.068,True,
2023-12-22,2024-01-25,34,813.1788330078125,810,1.0039244851948304,18.65,18.9,18.782285985530223,10.4,10.55,10.488928681384834,0.1447058978335249,4338,323,1.3310413875744342,1.4300793203619735,0.068,True,
2023-12-26,2024-01-25,30,818.8244018554688,820,0.9985663437261814,15.0,15.25,15.135935070732046,11.65,11.85,11.741303015663505,0.1430709808362069,4894,211,1.6516984172548304,1.7033884546986733,0.068,True,
2023-12-27,2024-02-01,36,828.9718627929688,830,0.9987612804734564,17.25,17.5,17.386871250838226,12.75,12.95,12.866949321476454,0.1450122079075144,4764,271,1.4378665165991118,1.5543699986925084,0.068,True,
2023-12-28,2024-02-01,35,829.9208374023438,830,0.9999046233763178,17.4,17.65,17.541326588226866,12.15,12.3,12.226040883969404,0.144157804592681,5907,387,1.42520577758236,1.2268894029029302,0.068,True,
2023-12-29,2024-02-01,34,831.8676147460938,830,1.0022501382483058,18.15,18.4,18.271346597090822,11.1,11.25,11.162923004137497,0.1431835763929958,5277,407,1.3682625890300015,1.3437340734537306,0.068,True,
